API,Category,Description_URL
Toolhelp32ReadProcessMemory,Injection,https://malapi.io/winapi/Toolhelp32ReadProcessMemory
URLDownloadToCacheFile,Internet,https://malapi.io/winapi/URLDownloadToCacheFile
URLDownloadToFile,Internet,https://malapi.io/winapi/URLDownloadToFile
URLOpenBlockingStream,Internet,https://malapi.io/winapi/URLOpenBlockingStream
URLOpenStream,Internet,https://malapi.io/winapi/URLOpenStream
UnhookWindowsHookEx,Spying,https://malapi.io/winapi/UnhookWindowsHookEx
UnmapViewOfFile,Helper,https://malapi.io/winapi/UnmapViewOfFile
UuidFromStringA,Injection,https://malapi.io/winapi/UuidFromStringA
UuidFromStringA,Evasion,https://malapi.io/winapi/UuidFromStringA
UuidFromStringA,Helper,https://malapi.io/winapi/UuidFromStringA
VirtualAlloc,Injection,https://malapi.io/winapi/VirtualAlloc
VirtualAlloc2,Injection,https://malapi.io/winapi/VirtualAlloc2
VirtualAlloc2FromApp,Injection,https://malapi.io/winapi/VirtualAlloc2FromApp
VirtualAllocEx,Injection,https://malapi.io/winapi/VirtualAllocEx
VirtualAllocExNuma,Injection,https://malapi.io/winapi/VirtualAllocExNuma
VirtualAllocFromApp,Injection,https://malapi.io/winapi/VirtualAllocFromApp
VirtualProtect,Injection,https://malapi.io/winapi/VirtualProtect
VirtualProtectEx,Injection,https://malapi.io/winapi/VirtualProtectEx
VirtualProtectFromApp,Injection,https://malapi.io/winapi/VirtualProtectFromApp
VirtualQueryEx,Enumeration,https://malapi.io/winapi/VirtualQueryEx
WNetAddConnection2A,Enumeration,https://malapi.io/winapi/WNetAddConnection2A
WNetAddConnection2A,Helper,https://malapi.io/winapi/WNetAddConnection2A
WNetAddConnectionA,Enumeration,https://malapi.io/winapi/WNetAddConnectionA
WNetCloseEnum,Enumeration,https://malapi.io/winapi/WNetCloseEnum
WNetEnumResourceA,Enumeration,https://malapi.io/winapi/WNetEnumResourceA
WNetEnumResourceA,Helper,https://malapi.io/winapi/WNetEnumResourceA
WNetOpenEnumA,Internet,https://malapi.io/winapi/WNetOpenEnumA
WNetOpenEnumA,Helper,https://malapi.io/winapi/WNetOpenEnumA
WSACleanup,Internet,https://malapi.io/winapi/WSACleanup
WSAIoctl,Internet,https://malapi.io/winapi/WSAIoctl
WSASocketA,Internet,https://malapi.io/winapi/WSASocketA
WSAStartup,Internet,https://malapi.io/winapi/WSAStartup
WaitForMultipleObjects,Injection,https://malapi.io/winapi/WaitForMultipleObjects
WaitForMultipleObjects,Evasion,https://malapi.io/winapi/WaitForMultipleObjects
WaitForMultipleObjectsEx,Injection,https://malapi.io/winapi/WaitForMultipleObjectsEx
WaitForMultipleObjectsEx,Evasion,https://malapi.io/winapi/WaitForMultipleObjectsEx
WaitForSingleObject,Injection,https://malapi.io/winapi/WaitForSingleObject 
WaitForSingleObject,Evasion,https://malapi.io/winapi/WaitForSingleObject 
WaitForSingleObjectEx,Injection,https://malapi.io/winapi/WaitForSingleObjectEx
WaitForSingleObjectEx,Evasion,https://malapi.io/winapi/WaitForSingleObjectEx
WinExec,Internet,https://malapi.io/winapi/WinExec
Wow64SetThreadContext,Injection,https://malapi.io/winapi/Wow64SetThreadContext
WriteFile,Helper,https://malapi.io/winapi/WriteFile
WriteProcessMemory,Injection,https://malapi.io/winapi/WriteProcessMemory
ioctlsocket,Internet,https://malapi.io/winapi/ioctlsocket
lstrcatA,Helper,https://malapi.io/winapi/lstrcatA
timeSetEvent,Evasion,https://malapi.io/winapi/timeSetEvent
